You entered a buffer length of 4,,,,,,,,,,,,,,,,,,,,
x,y,z,,,,,,,,,,,x_m1_100,x_m1_20,,y_m2_100,y_m2_20,,z_m3_100,z_m3_20
0.075505,0.075505,-0.007019,0.027376,1.056034,1.090826,1.041384,1.06873,0.05878,0.248855,0.05878,0.163096,,0.075505,-0.180736,,1.042727,0.946164,,-0.002136,0.122505
0.113349,0.113349,0.002503,0.057468,1.104621,1.104621,1.056034,1.084539,0.100409,0.216627,0.05878,0.125984,,0.113349,-0.130074,,1.073003,1.020143,,0.004944,0.105414
0.1175,0.1175,0.038516,0.086218,1.097662,1.104621,1.056034,1.087286,0.159861,0.159861,0.05878,0.111793,,0.1175,-0.104315,,1.055179,1.010987,,0.054996,0.127388
0.061466,0.1175,0.061466,0.091955,1.119148,1.119148,1.056034,1.094366,0.219313,0.219313,0.05878,0.134591,,0.061466,-0.04523,,1.024415,1.0188,,0.075627,0.137765
0.053165,0.1175,0.053165,0.08637,1.078618,1.119148,1.078618,1.100012,0.237502,0.237502,0.100409,0.179271,,0.053165,-0.009705,,1.02234,1.069706,,0.075627,0.131783
0.056095,0.1175,0.053165,0.072056,1.046512,1.119148,1.046512,1.085485,0.237746,0.237746,0.159861,0.213606,,0.056095,0.076848,,1.023683,1.041995,,0.026918,0.101874
0.008851,0.061466,0.008851,0.044894,1.027712,1.119148,1.027712,1.067998,0.220045,0.237746,0.219313,0.228652,,0.008851,0.057438,,1.014161,0.954709,,0.082097,0.164256
0.009217,0.056095,0.008851,0.031832,1.00293,1.078618,1.00293,1.038943,0.140084,0.237746,0.140084,0.208844,,0.009217,0.12397,,0.986449,0.947384,,0.103339,0.157541
0.075627,0.075627,0.008851,0.037448,0.963621,1.046512,0.963621,1.010194,0.076726,0.237746,0.076726,0.16865,,0.075627,0.292926,,0.970579,0.951535,,0.034975,0.17976
0.120674,0.120674,0.008851,0.053592,0.946896,1.027712,0.946896,0.98529,-0.01703,0.220045,-0.01703,0.104956,,0.120674,0.436123,,0.983764,0.961057,,0.049991,0.104804
0.115302,0.120674,0.009217,0.080205,0.934688,1.00293,0.934688,0.962034,-0.021181,0.140084,-0.021181,0.04465,,0.115302,0.518892,,1.007935,0.960691,,0.019716,0.052188
0.07697,0.120674,0.075627,0.097143,0.930171,0.963621,0.930171,0.943844,0.04291,0.076726,-0.021181,0.020356,,0.07697,0.593115,,1.066288,0.978148,,-0.026064,0.131783
0.067692,0.120674,0.067692,0.09516,0.953855,0.953855,0.930171,0.941402,0.103705,0.103705,-0.021181,0.027101,,0.067692,0.635842,,1.069829,0.996216,,-0.049503,0.221266
0.080754,0.115302,0.067692,0.085179,0.960203,0.960203,0.930171,0.944729,0.120674,0.120674,-0.021181,0.061527,,0.080754,0.674419,,1.042727,0.939205,,-0.028993,0.204908
0.097479,0.097479,0.067692,0.080724,0.981078,0.981078,0.930171,0.956327,0.152658,0.152658,0.04291,0.104987,,0.097479,0.728743,,1.001221,0.925777,,-0.003723,0.086004
0.111274,0.111274,0.067692,0.0893,0.995239,0.995239,0.953855,0.972594,0.148263,0.152658,0.103705,0.131325,,0.111274,0.778185,,0.921504,1.000854,,-0.010193,-0.019471
